position	characteristic	characteristic_group	availability_stage	role	source	data_type	unit_or_values	definition	calculation	interpretation	empty_value_meaning
29	has_available_answer	Calculated by project	Later human evidence	Response outcome	available_answer_count	boolean	TRUE or FALSE	Whether at least one answer row is available for the question in the dump.	The value is TRUE when available_answer_count is greater than zero and FALSE when it equals zero.	TRUE means at least one answer row is available; FALSE means the available answer count is zero.	Never empty in a valid output.
30	first_answer_id	Calculated by project	Later human evidence	Response outcome	Available answer rows	text	answer identifier	The identifier of the earliest available answer by creation time.	Available answers are ordered by CreationDate and numeric Id; the first row supplies the value.	The identifier locates the earliest available answer selected by timestamp and numeric ID.	Empty when no answer row is available.
31	first_answer_creation_datetime	Calculated by project	Later human evidence	Timestamp	Available answer rows	datetime	UTC datetime	The posting time of the earliest available answer.	The value is the CreationDate associated with first_answer_id.	Comparison with the question creation time shows when the first available answer appeared.	Empty when no answer row is available.
32	time_to_first_answer_hours	Calculated by project	Later human evidence	Response timing	question_creation_datetime and first_answer_creation_datetime	float	hours	The elapsed hours from question posting to the earliest available answer posting.	The question creation timestamp is subtracted from the earliest available answer timestamp, and the elapsed seconds are divided by 3,600.	Smaller values indicate a faster first response. Zero represents an answer posted within the same recorded instant.	Empty when no answer is available or a valid non-negative interval cannot be calculated.
33	median_answer_response_hours	Calculated by project	Later human evidence	Response timing	Question and available answer creation times	float	hours	The median posting delay across all available answers to the question.	The value is the median of all non-negative answer-posting delays.	Half of the available answers were posted by this delay and half were posted at or after it. Larger values describe generally slower answer arrival.	Empty when no valid answer delay is available.
34	accepted_answer_available	Calculated by project	Later human evidence	Resolution outcome	accepted_answer_id and available answer rows	boolean	TRUE or FALSE	Whether the answer named by accepted_answer_id is present in Posts.xml.	The value is TRUE when the available answers contain a row whose Posts.Id equals accepted_answer_id.	TRUE means the accepted-answer row is present and its content can be analyzed; FALSE means the row is absent or the question has no accepted-answer identifier.	FALSE when no accepted answer is recorded or its row is unavailable.
35	accepted_answer_creation_datetime	Calculated by project	Later human evidence	Timestamp	The available row identified by accepted_answer_id	datetime	UTC datetime	The posting time of the answer that is currently accepted.	The value is the CreationDate from the available accepted-answer row.	The value is the posting time of the answer that is currently accepted. It records answer arrival and serves as the start point for that answer content.	Empty when the accepted-answer row is unavailable.
36	accepted_answer_url	Calculated by project	Provenance	Identifier	site and accepted_answer_id	text	web address	The direct web address of the answer currently identified as accepted.	The address is constructed as https://{site}/a/{accepted_answer_id}.	The address identifies the currently accepted answer and supports attribution when that page remains available online.	Empty when the question has no accepted answer identifier.
37	accepted_answer_owner_user_id	Non-calculated	Later human evidence	Attribution	Posts.OwnerUserId on the available accepted-answer row	text	user identifier	The Stack Exchange user identifier of the accepted-answer author when the account is available in the dump.	The value is copied from Posts.OwnerUserId on the available accepted-answer row.	The identifier supports accepted-answer author attribution and source joins when the account is available.	Empty when the accepted-answer row or its author account is unavailable.
38	accepted_answer_owner_display_name	Non-calculated	Later human evidence	Attribution	Posts.OwnerDisplayName on the available accepted-answer row	text	display name	The author display name stored directly on the accepted-answer row.	The value is copied from Posts.OwnerDisplayName on the available accepted-answer row when that attribute is present.	The source name supports accepted-answer attribution when Stack Exchange stores it directly on the answer row.	Empty when the source row provides no direct display name.
39	accepted_answer_content_license	Non-calculated	Provenance	Provenance	Posts.ContentLicense on the available accepted-answer row	text	licence name	The content licence recorded for the accepted answer.	The value is copied from Posts.ContentLicense on the available accepted-answer row.	The licence, accepted-answer URL, and author information govern sharing and reuse of answer content.	Empty when the accepted-answer row is unavailable or the older source row has no licence field.
40	time_to_eventually_accepted_answer_post_hours	Calculated by project	Later human evidence	Response timing	question_creation_datetime and accepted_answer_creation_datetime	float	hours	The elapsed hours from question posting to the posting of the answer that is currently accepted.	The question creation timestamp is subtracted from the accepted-answer posting timestamp, and the elapsed seconds are divided by 3,600.	Smaller values mean the answer that ultimately became accepted was posted sooner after the question. This value measures answer posting time.	Empty when the accepted-answer row is unavailable or a valid non-negative interval cannot be calculated.
41	acceptance_date	Calculated by project	Later human evidence	Resolution outcome	Votes.CreationDate where PostId = accepted_answer_id and VoteTypeId = 1	date	YYYY-MM-DD	The first recorded day on which the currently accepted answer received an acceptance vote.	The earliest matching VoteTypeId = 1 date supplies the value. Public-dump vote timestamps have day-level precision.	This day records the acceptance action for the currently accepted answer. Public vote timestamps provide calendar-day precision.	Empty when no matching acceptance vote is available.
42	days_to_acceptance	Calculated by project	Later human evidence	Response timing	question_creation_datetime and acceptance_date	integer	calendar days	The number of calendar days from question posting to the first recorded acceptance day for the currently accepted answer.	The calendar date of question_creation_datetime is subtracted from acceptance_date.	Zero means acceptance occurred on the question posting day. Larger values mean more calendar days passed before the recorded acceptance action.	Empty when acceptance_date is unavailable or the interval is invalid.
43	accepted_answer_score	Calculated by Stack Exchange	Dump-snapshot context	Community reception	Posts.Score on the available accepted-answer row	integer	net votes	The accepted answer's voting result at the dump snapshot: up-votes increase the value and down-votes decrease it.	Stack Exchange calculates the net voting score and stores it in Posts.Score; the value is copied from the available accepted-answer row.	Positive values show more up-votes than down-votes, zero shows a balanced or limited voting result, and negative values show more down-votes.	Empty when the accepted-answer row is unavailable.
44	accepted_answer_body_text	Calculated by project	Later human evidence	Text	Posts.Body on the available accepted-answer row	text	plain visible text	The visible text of the currently accepted answer converted from rendered HTML.	The accepted-answer HTML is parsed, and visible text is joined with normalized spaces.	The value is the visible accepted-answer content with HTML formatting flattened into spaces.	Empty when the accepted-answer row is unavailable or has no body.
45	answer_score_spread	Calculated by project	Dump-snapshot context	Community reception	Posts.Score on available answer rows	integer	score points	The difference between the highest and lowest answer score for the question.	The minimum available answer score is subtracted from the maximum available answer score.	Zero means the available answer scores are equal. Larger values indicate a wider voting difference between the highest- and lowest-scored answers.	Empty when no answer score is available; zero when only one score is available or all scores are equal.
46	accepted_answer_score_rank	Calculated by project	Dump-snapshot context	Community reception	accepted_answer_score and all available answer scores	integer	rank, 1 is highest	The accepted answer position when the available answers are ordered from highest score to lowest score.	The rank equals 1 plus the number of available answer scores strictly greater than accepted_answer_score.	Rank 1 means the accepted answer shares the highest score. Rank 2 means one available answer has a higher score, and subsequent ranks follow the same rule.	Empty when the accepted-answer score is unavailable.
47	available_question_comment_count	Calculated by project	Later human evidence	Interaction outcome	Comments rows with PostId = question_id	integer	available question comments	The number of comment rows directly attached to the question that are available in Comments.xml.	The value equals the number of matching question-comment rows; comments on answers are outside the agreed extraction scope.	Zero means no comment row attached directly to the question is available. Larger values indicate more question-level discussion.	Zero when no question comment row is available.
48	comments_before_first_answer	Calculated by project	Later human evidence	Clarification evidence	Question comment and first-answer creation times	integer	comments	The number of available question comments posted before the earliest available answer.	The value equals the number of question comments whose CreationDate precedes first_answer_creation_datetime.	Zero means the first answer arrived before any available question comment. Larger values indicate more question discussion before the first answer.	Empty when no first answer is available; zero when an answer exists and no earlier question comment is available.
49	observation_days_at_dump	Calculated by project	Provenance	Follow-up control	question_creation_datetime and dump_snapshot_date	integer	calendar days	The number of calendar days between question posting and the dump snapshot.	The calendar date of question_creation_datetime is subtracted from dump_snapshot_date.	Larger values provide more time for accumulated answers, comments, votes, and views. The field controls unequal follow-up time.	Empty only when either date is invalid.
