catalogue_id	characteristic	source_name_v5	entity	implementation_status	current_output_field	characteristic_group	availability_stage	role	source	data_type	unit_or_values	definition	calculation	interpretation	empty_value_meaning	evidence_or_reference	notes
C011	comment_post_id	comment_post_id	Question comment	Available in current source		Non-calculated	Source dump record	Identifier	Comments.PostId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the question to which the comment was posted.	The value is copied from Comments.PostId for the relevant source record.	Matching this value with question_id attaches the comment directly to that question.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C012	comment_text	comment_text	Question comment	Available in current source		Non-calculated	Source dump record	Text	Comments.Text	nvarchar	text. Empty means the source or processed text is unavailable.	The written message contained in a comment posted directly on the question.	The value is copied from Comments.Text for the relevant source record.	The value records the message written in the comment. Its purpose, such as clarification or correction, requires the separate comment-role assessment.	An empty value means the source text is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C013	comment_user_id	comment_user_id	Question comment	Available in current source		Non-calculated	Source dump record	Identifier	Comments.UserId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the user who wrote the comment.	The value is copied from Comments.UserId for the relevant source record.	Matching this value with user_id identifies the account that wrote the comment.	An empty value means no available user account is linked to the comment, for example because the account was removed.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C014	duplicate_of_question_id	duplicate_of_question_id	Question	Requires Data Explorer source		Non-calculated	Data Explorer record	Identifier	Stack Exchange Data Explorer PendingFlags.DuplicateOfQuestionId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the earlier question identified as the duplicate target.	The value is copied from PendingFlags.DuplicateOfQuestionId for the relevant source record.	The value identifies the earlier question selected as the duplicate target and supports inspection of both questions.	An empty value means no duplicate target question is recorded for this pending flag.		PendingFlags is absent from the official public XML dump. PostLinks.xml can identify an established duplicate relationship, while the pending duplicate flag itself requires a separately documented Stack Exchange Data Explorer query.
C015	link_type_id	link_type_id	Post link	Requires additional dump file		Non-calculated	Additional source record	Identifier	PostLinks.LinkTypeId	tinyint	LinkTypeId code. These are categorical codes; equality comparison applies. Empty means the code is unavailable.	A category code describing the relationship between two linked posts, such as related or duplicate.	The value is copied from PostLinks.LinkTypeId for the relevant source record.	The number functions as a category label for the relationship. Its numeric value identifies a relationship category.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C016	owner_user_id	owner_user_id	Question author	Implemented	owner_user_id	Non-calculated	Question metadata at dump snapshot	Identifier	Posts.OwnerUserId where PostTypeId = 1	text	user identifier	The identifier of the question author when that account is available in the dump.	The value is copied from Posts.OwnerUserId on the selected question row.	The identifier supports attribution and source joins when the author account is available.	Empty for deleted or unavailable user accounts.		Produced by the current builder and mapped to the current output field.
C017	parent_question_id	parent_question_id	Post	Available in current source		Non-calculated	Source dump record	Identifier	Posts.ParentId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the question that an answer belongs to.	The value is copied from Posts.ParentId for the relevant source record.	Matching this value with question_id attaches the answer to its parent question.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C018	pending_flag_post_id	pending_flag_post_id	Pending flag	Requires Data Explorer source		Non-calculated	Data Explorer record	Identifier	Stack Exchange Data Explorer PendingFlags.PostId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the post affected by a pending moderation flag.	The value is copied from PendingFlags.PostId for the relevant source record.	Matching this value with a question or answer ID identifies the post affected by the pending moderation flag.	An empty value means the related record or relationship is unavailable.		PendingFlags is absent from the official public XML dump and requires a separately documented Stack Exchange Data Explorer query.
C019	post_history_comment	post_history_comment	Post history event	Requires additional dump file		Non-calculated	Additional source record	Interaction outcome	PostHistory.Comment	nvarchar	text. Empty means the source or processed text is unavailable.	A short note attached to a recorded change in a post's history, such as an edit summary.	The value is copied from PostHistory.Comment for the relevant source record.	The text can explain the reason for a recorded history event, such as the purpose of an edit. Its meaning depends on post_history_type_id.	An empty value means the source text is unavailable.		The required additional dump table is outside the current production inputs.
C020	post_history_creation_datetime	post_history_creation_datetime	Post history event	Requires additional dump file		Non-calculated	Additional source record	Timestamp	PostHistory.CreationDate	datetime	UTC date and time, shown as YYYY-MM-DD hh:mm:ss with optional fractional seconds. Empty means that the event has no recorded timestamp.	The date and time when a recorded change or moderation event occurred on a post.	The value is copied from PostHistory.CreationDate for the relevant source record.	The timestamp places the event in chronological order and supports elapsed-time calculations. Earlier timestamps occurred first.	An empty value means the event time is unavailable.		The required additional dump table is outside the current production inputs.
C021	post_history_id	post_history_id	Post history event	Requires additional dump file		Non-calculated	Additional source record	Identifier	PostHistory.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number identifying one event in a post's change history.	The value is copied from PostHistory.Id for the relevant source record.	The value identifies one post-history event and separates it from every other recorded event.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C022	post_history_post_id	post_history_post_id	Post history event	Requires additional dump file		Non-calculated	Additional source record	Identifier	PostHistory.PostId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the question or answer affected by a history event.	The value is copied from PostHistory.PostId for the relevant source record.	Matching this value with a question or answer ID identifies the post changed by the history event.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C023	post_history_text	post_history_text	Post history event	Requires additional dump file		Non-calculated	Additional source record	Text	PostHistory.Text	nvarchar	text. Empty means the source or processed text is unavailable.	The content stored with a post-history event, which can contain a title, body, tags, or other event-specific text.	The value is copied from PostHistory.Text for the relevant source record.	The stored content can represent a title, body, tags, or another event-specific value. post_history_type_id identifies which kind of content it contains.	An empty value means the source text is unavailable.		The required additional dump table is outside the current production inputs.
C024	post_history_type_id	post_history_type_id	Post history event	Requires additional dump file		Non-calculated	Additional source record	Identifier	PostHistory.PostHistoryTypeId	tinyint	Integer category code defined by the source table. Equality comparison applies to the codes. Empty means the code is unavailable.	A category code identifying what kind of change occurred in a post's history.	The value is copied from PostHistory.PostHistoryTypeId for the relevant source record.	The PostHistory type definitions map the number to the recorded event. The code identifies a post-history event category.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C025	post_link_creation_datetime	post_link_creation_datetime	Post link	Requires additional dump file		Non-calculated	Additional source record	Timestamp	PostLinks.CreationDate	datetime	UTC date and time, shown as YYYY-MM-DD hh:mm:ss with optional fractional seconds. Empty means that the event has no recorded timestamp.	The date and time when a relationship between two posts was recorded.	The value is copied from PostLinks.CreationDate for the relevant source record.	The timestamp places the event in chronological order and supports elapsed-time calculations. Earlier timestamps occurred first.	An empty value means the event time is unavailable.		The required additional dump table is outside the current production inputs.
C026	post_link_id	post_link_id	Post link	Requires additional dump file		Non-calculated	Additional source record	Identifier	PostLinks.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number identifying one recorded relationship between two posts.	The value is copied from PostLinks.Id for the relevant source record.	The value identifies one recorded relationship between two posts and links its source, destination, type, and creation time.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C027	post_tag_post_id	post_tag_post_id	Post tag	Available in current source		Calculated by project	Source dump record	Identifier	Posts.Id and Posts.Tags where PostTypeId = 1	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the question associated with a question-to-tag relationship.	For each tag parsed from Posts.Tags, the relationship stores the question's Posts.Id as post_tag_post_id.	Matching this value with question_id identifies the question on one side of the question-to-tag relationship.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C028	post_tag_tag_id	post_tag_tag_id	Post tag	Requires additional dump file		Calculated by project	Additional source record	Identifier	Posts.Tags where PostTypeId = 1, joined to Tags.TagName and Tags.Id from Tags.xml	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the tag associated with a question-to-tag relationship.	Each tag parsed from Posts.Tags is matched to Tags.TagName, and the matching Tags.Id becomes post_tag_tag_id.	Matching this value with tag_id identifies the topic tag on the other side of the question-to-tag relationship.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C029	question_body_html	question_body_html	Question	Implemented	question_body_html	Non-calculated	Question content at dump snapshot	Text	Posts.Body where PostTypeId = 1	text	rendered HTML	The rendered HTML body of the question stored in the dump snapshot.	The value is copied from Posts.Body on the selected question row with its stored HTML markup.	The value preserves rendered formatting, code blocks, links, and images. HTML-aware software is required for display.	Empty only when the source body is unavailable.		Produced by the current builder and mapped to the current output field.
C030	question_creation_datetime	question_creation_datetime	Question	Implemented	question_creation_datetime	Non-calculated	Question-time metadata	Timestamp	Posts.CreationDate where PostTypeId = 1	datetime	UTC datetime	The date and time when the question was posted.	The value is copied from Posts.CreationDate on the selected question row.	The timestamp places the question in a period or cohort. Stack Exchange dump timestamps are recorded in UTC.	Never empty in a valid output.	Kabir et al. 2024	Produced by the current builder and mapped to the current output field.
C031	question_id	question_id	Question	Implemented	question_id	Non-calculated	Question-time metadata	Identifier	Posts.Id where PostTypeId = 1	text	positive post identifier	The identifier assigned to the question by Stack Exchange.	The value is copied from Posts.Id on the selected question row where PostTypeId = 1.	The stable number supports record joins and identifies the same question across extracts and tables.	Never empty in a valid output.		Produced by the current builder and mapped to the current output field.
C032	question_tags_raw	question_tags_raw	Tag	Implemented	question_tags_raw	Non-calculated	Question content at dump snapshot	Topic	Posts.Tags where PostTypeId = 1	text	<tag-a><tag-b>	The exact tag string stored on the question row.	The value is copied from Posts.Tags on the selected question row with the original angle-bracket notation.	The value supports source verification. Each tag appears between angle brackets in the original dump notation.	Empty when the question has no source tags.		Produced by the current builder and mapped to the current output field.
C033	question_title	question_title	Question	Implemented	question_title	Non-calculated	Question content at dump snapshot	Text	Posts.Title where PostTypeId = 1	text	HTML-decoded text	The question title stored in the dump snapshot.	The value is copied from Posts.Title on the selected question row. XML entities are decoded during XML parsing.	The value is the short wording displayed above the question body in the dump snapshot.	Empty only when the source title is unavailable.	Raida et al. 2024	Produced by the current builder and mapped to the current output field.
C034	related_post_id	related_post_id	Post link	Requires additional dump file		Non-calculated	Additional source record	Identifier	PostLinks.RelatedPostId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the post at the destination of a recorded post relationship.	The value is copied from PostLinks.RelatedPostId for the relevant source record.	The value identifies the destination post in a duplicate or related-post relationship.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C035	source_post_id	source_post_id	Post link	Requires additional dump file		Non-calculated	Additional source record	Identifier	PostLinks.PostId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the post from which a recorded post relationship starts.	The value is copied from PostLinks.PostId for the relevant source record.	The value identifies the source post in a duplicate or related-post relationship.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C036	tag_id	tag_id	Tag	Requires additional dump file		Non-calculated	Additional source record	Identifier	Tags.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number identifying one Stack Exchange topic tag.	The value is copied from Tags.Id for the relevant source record.	The value identifies one topic tag and links its name, usage count, and question relationships.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C037	tag_name	tag_name	Tag	Requires additional dump file		Non-calculated	Additional source record	Topic	Tags.TagName	nvarchar	text. Empty means the source or processed text is unavailable.	The readable topic label displayed on questions, such as python, linux, or machine-learning.	The value is copied from Tags.TagName for the relevant source record.	The value is the topic name displayed on questions and supports grouping questions that share that topic.	An empty value means the source text is unavailable.		The required additional dump table is outside the current production inputs.
C038	user_creation_datetime	user_creation_datetime	User	Requires additional dump file		Non-calculated	Additional source record	Timestamp	Users.CreationDate	datetime	UTC date and time, shown as YYYY-MM-DD hh:mm:ss with optional fractional seconds. Empty means that the event has no recorded timestamp.	The date and time when the user's account was created on the Stack Exchange site.	The value is copied from Users.CreationDate for the relevant source record.	The timestamp places the event in chronological order and supports elapsed-time calculations. Earlier timestamps occurred first.	An empty value means the event time is unavailable.		The required additional dump table is outside the current production inputs.
C039	user_id	user_id	User	Requires additional dump file		Non-calculated	Additional source record	Identifier	Users.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number identifying one user account on the Stack Exchange site.	The value is copied from Users.Id for the relevant source record.	The value identifies one account within the selected Stack Exchange community and links its profile and authored content.	An empty value means the related record or relationship is unavailable.		The required additional dump table is outside the current production inputs.
C040	vote_creation_datetime	vote_creation_datetime	Vote	Available in current source		Non-calculated	Source dump record	Timestamp	Votes.CreationDate	datetime	UTC date and time, shown as YYYY-MM-DD hh:mm:ss with optional fractional seconds. Empty means that the event has no recorded timestamp.	The date on which a vote-related event was recorded for a post.	The value is copied from Votes.CreationDate for the relevant source record.	The timestamp places the event in chronological order and supports elapsed-time calculations. Earlier timestamps occurred first.	An empty value means the event time is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C041	vote_id	vote_id	Vote	Available in current source		Non-calculated	Source dump record	Identifier	Votes.Id	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number identifying one vote record.	The value is copied from Votes.Id for the relevant source record.	The value identifies one vote record and separates it from every other recorded vote.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C042	vote_post_id	vote_post_id	Vote	Available in current source		Non-calculated	Source dump record	Identifier	Votes.PostId	int	Positive integer identifier. Empty means that the related record or relationship is unavailable.	The unique number of the question or answer that received the vote.	The value is copied from Votes.PostId for the relevant source record.	Matching this value with a question or answer ID identifies the post that received the vote.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C043	vote_type_id	vote_type_id	Vote	Available in current source		Non-calculated	Source dump record	Identifier	Votes.VoteTypeId	tinyint	Integer category code defined by the source table. Equality comparison applies to the codes. Empty means the code is unavailable.	A category code describing what kind of vote or vote-related event occurred.	The value is copied from Votes.VoteTypeId for the relevant source record.	The VoteTypes lookup maps the code to the recorded vote event. The numeric value identifies a vote-event category.	An empty value means the related record or relationship is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C044	vote_type_name	vote_type_name	Vote	Available in current source		Calculated by project	Source dump record	Vote category	Votes.VoteTypeId and the documented Stack Exchange vote-type mapping	nvarchar	Text label naming the vote category associated with vote_type_id. Empty means the VoteTypes lookup value is unavailable.	The readable name of a vote category, such as UpMod or DownMod.	Votes.VoteTypeId is matched to the documented Stack Exchange vote-type mapping, and the corresponding readable label becomes vote_type_name.	The label gives the readable meaning of vote_type_id, such as an up-vote or down-vote category.	An empty value means the source text is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C045	accepted_answer_body_text	accepted_answer_body_text	Accepted answer	Implemented	accepted_answer_body_text	Calculated by project	Later human evidence	Text	Posts.Body on the available accepted-answer row	text	plain visible text	The visible text of the currently accepted answer converted from rendered HTML.	The accepted-answer HTML is parsed, and visible text is joined with normalized spaces.	The value is the visible accepted-answer content with HTML formatting flattened into spaces.	Empty when the accepted-answer row is unavailable or has no body.		Produced by the current builder and mapped to the current output field.
C046	accepted_answer_creation_datetime	accepted_answer_creation_datetime	Accepted answer	Implemented	accepted_answer_creation_datetime	Calculated by project	Later human evidence	Timestamp	The available row identified by accepted_answer_id	datetime	UTC datetime	The posting time of the answer that is currently accepted.	The value is the CreationDate from the available accepted-answer row.	The value is the posting time of the answer that is currently accepted. It records answer arrival and serves as the start point for that answer content.	Empty when the accepted-answer row is unavailable.		Produced by the current builder and mapped to the current output field.
C047	accepted_answer_score	accepted_answer_score	Accepted answer	Implemented	accepted_answer_score	Calculated by Stack Exchange	Dump-snapshot context	Community reception	Posts.Score on the available accepted-answer row	integer	net votes	The accepted answer's voting result at the dump snapshot: up-votes increase the value and down-votes decrease it.	Stack Exchange calculates the net voting score and stores it in Posts.Score; the value is copied from the available accepted-answer row.	Positive values show more up-votes than down-votes, zero shows a balanced or limited voting result, and negative values show more down-votes.	Empty when the accepted-answer row is unavailable.		Produced by the current builder and mapped to the current output field.
C048	accepted_answer_validity	accepted_answer_validity	Accepted answer	Requires manual assessment		Assessed manually	Manual assessment	Response outcome	question_body_text, accepted_answer_body_text, supporting evidence, and reviewer judgment	category	valid / partially valid / contested / invalid / unknown. Empty means the item is awaiting a category assignment.	A review result describing whether the accepted answer actually gives a correct and useful solution to the question.	A manual review compares accepted_answer_body_text with question_body_text and explicit answer evidence and assigns valid, partially valid, contested, invalid, or unknown.	Valid means the accepted answer gives a correct and useful solution; partially valid means it is useful with a material limitation; contested means evidence conflicts; invalid means it fails; unknown means the evidence is insufficient.	An empty value means the classification is unavailable.		A documented assessment protocol and reviewer evidence are required before implementation.
C049	accepted_answer_score_rank	accepted_score_rank	Accepted answer	Implemented	accepted_answer_score_rank	Calculated by project	Dump-snapshot context	Community reception	accepted_answer_score and all available answer scores	integer	rank, 1 is highest	The accepted answer position when the available answers are ordered from highest score to lowest score.	The rank equals 1 plus the number of available answer scores strictly greater than accepted_answer_score.	Rank 1 means the accepted answer shares the highest score. Rank 2 means one available answer has a higher score, and subsequent ranks follow the same rule.	Empty when the accepted-answer score is unavailable.		Dictionary v5 name mapped to the canonical field accepted_answer_score_rank: accepted_score_rank.
C050	addition_carrying_operations	addition_carrying_operations	Benchmark instance	Literature-derived candidate		Calculated by project	Research candidate	Difficulty evidence	External addition-benchmark input	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The number of times an addition problem requires carrying a value from one digit position to the next.	addition_carrying_operations = count digit positions in the addition instance where aligned addend digits plus incoming carry produce a carry to the next position. The value comes from the external benchmark dataset.	Zero means the addition requires no carrying. Larger values mean more digit positions require a carry operation.	An empty value means the required source information is unavailable.	Zhou et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C051	alternative_valid_answers	alternative_valid_answers	Answer	Requires manual assessment		Assessed manually	Manual assessment	Response outcome	question_body_text, accepted_answer_body_text, non-accepted answer text, and reviewer judgment	category	yes / no / unclear. Empty means the item is awaiting a category assignment.	Whether the thread contains a correct alternative answer in addition to the accepted answer.	A manual review compares non-accepted answers with question_body_text and accepted_answer_body_text and assigns yes, no, or unclear depending on whether another answer is valid.	Yes means at least one non-accepted answer is also valid, no means none is valid, and unclear means the available evidence does not support a confident decision.	An empty value means the classification is unavailable.		A documented assessment protocol and reviewer evidence are required before implementation.
C052	anagram_letter_count	anagram_letter_count	Benchmark instance	Literature-derived candidate		Calculated by project	Research candidate	Difficulty evidence	External anagram-benchmark input	int	Non-negative integer count. 0 means that the counted quantity is absent. Empty means the source needed for counting is unavailable.	The number of letters in the scrambled word or phrase used in an anagram task.	anagram_letter_count = number of letters in the jumbled anagram string. The value comes from the external benchmark dataset.	Zero means no letters in the anagram; larger values indicate more letters in the anagram.	An empty value means the source needed to produce the count is unavailable. A value of 0 is a valid observed count.	Zhou et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C053	answer_body_text	answer_body_text	Answer	Available in current source		Calculated by project	Source dump record	Text	Posts.Body	text	text. Empty means the source or processed text is unavailable.	The readable written content of an answer, without HTML tags or webpage formatting.	The calculation parses answer_body_html as HTML, removes markup tags, decodes HTML entities, and normalizes whitespace.	The value is the plain-text version of the answer. Code and links may remain as readable text after their HTML tags are removed.	An empty value means the source text is unavailable.		Available in the current XML inputs and retained outside the question-level output until a separate table or explicit aggregation is defined.
C054	answer_score_spread	answer_score_spread	Answer	Implemented	answer_score_spread	Calculated by project	Dump-snapshot context	Community reception	Posts.Score on available answer rows	integer	score points	The difference between the highest and lowest answer score for the question.	The minimum available answer score is subtracted from the maximum available answer score.	Zero means the available answer scores are equal. Larger values indicate a wider voting difference between the highest- and lowest-scored answers.	Empty when no answer score is available; zero when only one score is available or all scores are equal.		Produced by the current builder and mapped to the current output field.
C055	asker_accept_rate	asker_accept_rate	Question author	Literature-derived candidate		Calculated by project	Research candidate	Author history	Posts.OwnerUserId, Posts.AcceptedAnswerId, and Posts.PostTypeId across the author's question history	float	Decimal ratio from 0 to 1. For example, 0.25 means 25%. Empty means the required denominator or source history is unavailable.	The proportion of a user's questions for which that user selected an accepted answer.	asker_accept_rate = count(question_id where post_type_id = 1 and owner_user_id = user_id and accepted_answer_id has a value) / count(question_id where post_type_id = 1 and owner_user_id = user_id).	0 means the user accepted no answers, 1 means the user accepted an answer on every question, and 0.25 means one quarter of the user's questions have an accepted answer.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Raida et al. 2024	Scientific selection and a complete calculation specification are required before implementation.
C056	average_terms_entropy	average_terms_entropy	Question	Literature-derived candidate		Calculated by project	Research candidate	Text characteristic	Question title and visible body text across the selected corpus	float	Non-negative decimal entropy value. Larger values indicate greater diversity or unpredictability under the stated method. Empty means the required text or corpus statistics are unavailable.	A text-diversity measure showing how unusual or unpredictable the words in a question are compared with words in the full question collection.	average_terms_entropy = sum(term_entropy(term) for terms in question_body_text) / character_count(question_body_text), where term_entropy is computed over the corpus before scoring each question.	Larger values indicate words that are more varied or less predictable relative to the collection. Valid comparisons use the same corpus and preprocessing method.	An empty value means one or more required inputs are unavailable. A value of 0 is a valid numeric result.	Mondal et al. 2021	Scientific selection and a complete calculation specification are required before implementation.
C057	code_character_count	code_character_count	Question	Implemented	code_character_count	Calculated by project	Question content at dump snapshot	Code characteristic	Derived from Posts.Body	integer	Non-negative character count	The number of characters contained in HTML code elements in the question body, including whitespace.	Posts.Body is parsed as HTML, and the text length of every code element is summed once.	Zero means the question body contains no code element. Larger values indicate more code text.	The calculated field is always present; unavailable body HTML produces 0.		Produced by the current builder and mapped to the current output field.
C058	code_line_count	code_line_count	Question	Implemented	code_line_count	Calculated by project	Question content at dump snapshot	Code characteristic	question_body_html	integer	non-empty lines	The number of non-empty lines inside preformatted code blocks in the question.	Each pre element is extracted, and its non-empty text lines are counted.	Zero means the body contains no non-empty line in a preformatted code block. Larger values indicate more block-formatted code.	Zero when no preformatted code block is present.	Raida et al. 2024	Produced by the current builder and mapped to the current output field.
C059	comment_role_after_interaction	comment_role_after_interaction	Question comment	Requires manual assessment		Assessed manually	Manual assessment	Interaction outcome	Direct question-comment text and reviewer judgment	category	clarification / hint / objection / correction / praise / social / irrelevant. Empty means the item is awaiting a category assignment.	The main purpose served by a comment left directly on the question, such as requesting clarification, suggesting a correction, or offering praise.	A manual coding procedure reads each question comment and assigns its main role: clarification, hint, objection, correction, praise, social, or irrelevant.	Clarification requests missing information; hint suggests a direction; objection challenges content; correction supplies a fix; praise expresses approval; social serves conversation; irrelevant does not advance the question.	An empty value means the classification is unavailable.		A documented assessment protocol and reviewer evidence are required before implementation.
